Risultato stimato,Nome,Ranking score,Partecipazioni,History score,Last 3 years score,Score
1,Manu,100.0,3,9.0,9.0,18.0
2,Lippo,88.88888888888889,3,8.0,8.0,16.0
3,Cappo,81.48148148148148,3,7.333333333333333,7.333333333333333,14.666666666666666
4,Cucu,48.148148148148145,3,4.333333333333333,4.333333333333333,8.666666666666666
5,Jackino,25.925925925925927,0,3.0,1.6666666666666667,4.666666666666667
5,Javier,25.925925925925927,0,3.0,1.6666666666666667,4.666666666666667
7,Pippi,18.51851851851852,3,1.6666666666666667,1.6666666666666667,3.3333333333333335
8,Gallo,7.407407407407407,3,0.6666666666666666,0.6666666666666666,1.3333333333333333
9,Zanu,0.0,3,0.0,0.0,0.0
10,Fabio,-11.11111111111111,3,-1.0,-1.0,-2.0
