Risultato stimato,Nome,Ranking score,Partecipazioni,History score,Last 3 years score,Score
1,Lippo,100.0,1,4.6,7.333333333333333,11.933333333333334
2,Gallo,49.16201117318436,1,3.2,2.6666666666666665,5.866666666666666
2,Manu,49.16201117318436,1,3.2,2.6666666666666665,5.866666666666666
4,Cappo,31.00558659217877,1,2.7,1.0,3.7
4,Cucu,31.00558659217877,1,2.7,1.0,3.7
4,Zanu,31.00558659217877,1,2.7,1.0,3.7
7,Mett,20.11173184357542,1,2.4,0.0,2.4
7,Fabio,20.11173184357542,1,2.4,0.0,2.4
7,Pippi,20.11173184357542,1,2.4,0.0,2.4
